"Accession_ID","Protein_Coverage","Number_of_Unique_Peptides","Number_of_Peptides","M197vsM398","M197vsM180","M197vsM194","M202vsM194","M418vsM194","M202vsM180","M202vsM398","M418vsM180","M418vsM398","Number_of_ratios","Ratio_mean","Ratio_SEM","pvalue","FDR"
"198","O15294",6.02,6,6,0.979,0.953,0.745,0.686,0.706,0.815,0.916,0.737,0.907,9,0.83,0.04,0.005,0.039
"199","O15305",34.96,8,9,0.878,0.933,0.802,0.73,0.878,0.866,0.96,0.992,1.109,9,0.91,0.04,0.116,0.266
"200","O15318",5.38,1,1,0,0,0,0,0.631,0,0,0.658,0,2,0,0,0,0
"201","O15320",9.2,7,7,1.01,1.148,0.933,1.026,0.869,1.082,0.984,0.953,0.8,9,0.98,0.04,0.181,0.348
"202","O15321",3.8,2,2,0.821,0.828,1.128,0.686,0.644,0.646,0.64,0.603,0.6,9,0.73,0.06,0.001,0.018
"203","O15327",6.17,3,3,0,0,0,0,0.836,0,0,0.408,0.491,3,0.58,0.13,0.029,0.113
"204","O15344",3.75,2,2,0.797,1.024,1.116,0.999,1.221,0.905,0.704,1.1,0.86,9,0.97,0.06,0.467,0.646
"205","O15347",28,6,7,1.198,0.832,0.925,1.082,0.867,1.012,1.306,1.019,1.22,9,1.05,0.05,0.331,0.512
"206","O15355",32.97,15,15,1.219,0.955,1.035,1.053,1.019,0.997,1.209,1.053,1.277,9,1.09,0.04,0.017,0.083
"207","O15357",7,7,7,0.748,0.623,0.861,1.226,1.276,0.934,1.14,0.955,1.325,9,1.01,0.08,0.857,0.923
"208","O15371",12.04,6,6,1.008,0.626,0.754,1.099,1.045,0.87,1.357,0.817,1.294,9,0.99,0.08,0.98,0.991
"209","O15372",17.33,7,7,1.16,0.835,0.753,0.831,0.801,0.95,1.396,0.846,1.402,9,1,0.09,0.907,0.949
"210","O15379",4.44,1,2,0.772,0.912,0.797,1.017,0.743,1.15,0.973,0.836,0.711,9,0.88,0.05,0.002,0.022
"211","O15381",9.23,5,6,1.413,0.907,1.499,1.95,0.724,1.166,1.418,0.431,0.673,9,1.13,0.16,0.884,0.938
"212","O15382",9.69,3,3,0.918,0.95,0.996,1.131,0.955,0.901,0.936,0.824,0.829,9,0.94,0.03,0.057,0.175
"213","O15397",1.25,1,1,1.844,1.126,0.649,0.503,0.564,0.863,1.412,0.962,1.581,9,1.06,0.16,0.879,0.935
"214","O15400",29.12,6,6,1.217,1.385,1.376,1.104,1.042,0.972,0.964,0.992,0.914,9,1.11,0.06,0.134,0.288
"215","O15446",28.24,8,8,1.335,1.631,1.591,1.063,1.306,1.077,0.881,1.386,1.081,9,1.26,0.08,0.015,0.077
"216","O15460",21.31,12,12,1.975,2.181,1.354,0.532,1.164,0.888,0.703,1.891,1.561,9,1.36,0.2,0.128,0.28
"217","O15484",1.56,1,1,1.356,1.834,1.141,0.858,0.905,1.362,1.007,1.43,1.061,9,1.22,0.1,0.117,0.266
"218","O15498",19.7,5,5,0.946,0.764,0.651,0.673,0.813,0.768,0.993,0.88,1.289,9,0.86,0.07,0.207,0.38
"219","O15504",20.33,5,5,1.433,1.17,1.116,0.933,0.953,1.012,0.947,1.019,1.088,9,1.07,0.05,0.158,0.319
"220","O15511",39.07,5,6,0.946,0.722,0.881,1.038,1.101,0.966,1.212,0.981,1.149,9,1,0.05,0.911,0.951
"221","O15514",30.28,4,4,1.29,1.481,1.746,1.224,0.978,1.026,0.893,1.147,0.909,9,1.19,0.09,0.112,0.26
"222","O15530",7.37,4,4,0.946,0.865,0.807,1.081,1.24,1.144,1.25,1.306,1.433,9,1.12,0.07,0.135,0.289
"223","O15533",4.24,2,2,0.828,1.263,0.767,1.112,0.59,1.811,1.186,0.955,0.629,9,1.02,0.13,0.144,0.301
"224","O15541",7.29,2,3,0.993,0.909,1.5,1.254,1.805,0.751,0.819,2.069,1.047,9,1.24,0.15,0.107,0.252
"225","O43143",29.94,22,22,0.896,1.017,0.888,0.928,0.925,1.033,0.936,1.075,1.044,9,0.97,0.02,0.236,0.411
"226","O43148",17.02,8,8,0.51,0.718,0.74,0.986,1.029,0.982,0.682,1.117,0.713,9,0.83,0.07,0.018,0.085
"227","O43159",5.48,2,2,1.093,0.975,1.019,0.901,0.754,0.852,0.954,0.709,0.797,9,0.89,0.04,0.037,0.132
"228","O43164",7.91,5,5,1.08,1.096,1.836,2.116,2.983,1.568,0.962,1.649,1.355,9,1.63,0.21,0.01,0.06
"229","O43169",27.4,3,3,1.084,1.537,1.189,0.96,0.834,1.134,0.87,1.088,0.821,9,1.06,0.08,0.914,0.953
"230","O43172",15.9,9,9,0.839,0.956,0.904,0.992,1.017,1.055,0.892,1.014,0.88,9,0.95,0.02,0.013,0.071
"231","O43175",25.52,12,12,0.839,0.478,0.55,0.706,0.489,0.637,0.953,0.412,0.678,9,0.64,0.06,0.001,0.015
"232","O43181",31.43,5,5,1.055,1.611,1.308,1.097,1.002,1.269,0.987,1.202,0.939,9,1.16,0.07,0.107,0.253
"233","O43237",23.78,9,9,1.135,1.081,0.804,0.715,0.741,1.001,1.152,1.062,1.144,9,0.98,0.06,0.744,0.85
"234","O43242",31.09,16,16,1.065,0.923,0.758,0.769,0.724,0.843,1.058,0.923,1.054,9,0.9,0.05,0.126,0.278
"235","O43251",8.72,3,3,0.722,1.094,1.27,1.378,1.361,1.173,0.774,1.154,0.764,9,1.08,0.09,0.953,0.975
"236","O43252",9.29,5,5,1.133,0.541,0.472,0.709,1.199,1.129,1.947,0.954,1.929,9,1.11,0.18,0.764,0.864
"237","O43264",15.53,10,11,0.67,0.93,0.811,0.924,0.581,1.063,0.886,0.61,0.511,9,0.78,0.06,0.002,0.022
"238","O43290",31.37,21,22,1.179,1.507,1.256,0.958,0.964,1.048,0.853,1.055,0.86,9,1.08,0.07,0.543,0.709
"239","O43292",2.09,1,1,1.281,0,2.889,2.5,1.746,0,1.095,0,0.764,6,1.71,0.34,0.133,0.287
"240","O43294",9.54,2,2,0.921,0.471,0.42,0,0.51,0,0,0.562,1.102,6,0.66,0.11,0.045,0.149
"241","O43314",5.15,5,5,0,1.04,0.656,0.587,0.813,0.772,1.58,0.592,2.368,8,1.05,0.22,0.782,0.875
"242","O43318",5.28,2,2,0,0,0,0.944,1.46,0.877,1.318,1.348,2.036,6,1.33,0.17,0.022,0.096
"243","O43324",13.79,3,3,1.119,0.862,0.831,1.036,1.01,0.946,0.967,1.036,1.008,9,0.98,0.03,0.567,0.729
"244","O43325",7.38,1,1,0,0,1.393,0,0,0,0,0,0,1,0,0,0,0
"245","O43390",39.34,16,25,0.664,0.925,1.06,1.637,1.244,1.405,1.059,0.998,0.768,9,1.08,0.1,0.874,0.932
"246","O43395",17.28,12,12,0.892,0.983,0.954,1.042,1.041,1.041,1.04,1.038,1.029,9,1.01,0.02,0.839,0.912
"247","O43396",26.99,7,7,0.937,0.94,1.078,1.089,1.304,1.008,0.951,1.042,1.067,9,1.05,0.04,0.216,0.391
"248","O43399",50,9,9,1.234,1.21,0.945,0.762,0.736,1.06,1.027,1.053,0.978,9,1,0.06,0.733,0.842
"249","O43402",16.19,4,4,0.998,1.13,0.953,0.83,0.693,0.975,1.045,0.859,0.925,9,0.93,0.04,0.135,0.29
"250","O43414",2.67,1,1,0,0,0,1.54,1.926,0,0,0,0,2,0,0,0,0
"251","O43426",1.27,2,2,1.108,1.594,1.261,1.091,0.832,1.363,0.946,1.034,0.721,9,1.11,0.09,0.886,0.938
"252","O43432",10.66,10,15,1.048,0.809,0.89,0.953,1.135,1.004,1.084,0.984,1.232,9,1.02,0.04,0.568,0.729
"253","O43447",28.25,5,6,0.985,0.92,1.036,1.172,1.111,1.03,1.051,0.975,0.982,9,1.03,0.03,0.408,0.589
"254","O43464",14.63,5,5,0.956,1.214,1.163,1.365,1.272,1.142,0.863,0.998,0.755,9,1.08,0.07,0.753,0.856
"255","O43488",10.31,3,3,0.736,0.64,0.831,1.487,1.198,0.906,1.21,0.732,0.911,9,0.96,0.09,0.47,0.649
"256","O43491",25.77,20,22,1.088,1.068,0.928,0.795,0.791,0.971,1.212,0.948,1.004,9,0.98,0.05,0.582,0.74
"257","O43493",15.42,6,6,1.25,1.73,1.233,1.832,1.361,1.273,1.224,1.267,0.98,9,1.35,0.09,0.007,0.048
"258","O43504",32.97,2,2,0.67,0.796,1.095,1.258,1.497,0.904,0.935,1.604,1.291,9,1.12,0.11,0.295,0.475
"259","O43505",3.86,1,1,1.43,2.483,1.636,1.14,0.856,1.709,0.983,1.277,0.738,9,1.36,0.18,0.257,0.434
"260","O43516",9.74,4,4,0.955,1.027,0.867,0.845,0.798,0.949,0.964,0.885,0.99,9,0.92,0.02,0.022,0.098
"261","O43583",12.12,3,3,1.167,1.04,1.301,1.338,1.462,1.121,1.093,1.055,1.092,9,1.19,0.05,0.004,0.036
"262","O43592",0.94,1,1,1.416,1.505,0.734,0.523,0.754,1.061,0.996,1.522,1.436,9,1.11,0.13,0.616,0.764
"263","O43598",4.02,1,1,0.912,0.667,0.715,0.808,0.8,0.745,1.017,0.733,1.006,9,0.82,0.04,0.013,0.069
"264","O43602",20.41,7,7,0.474,0.443,1.451,2.845,5.537,0.608,0.697,1.166,1.2,9,1.6,0.55,0.504,0.677
"265","O43615",35.18,15,15,0.933,0.884,1.035,0.845,0.917,0.718,0.734,0.777,0.768,9,0.85,0.04,0.002,0.023
"266","O43617",26.11,5,5,0.915,0.839,0.753,0.746,0.951,1.048,0.932,1.062,1.143,9,0.93,0.05,0.204,0.377
"267","O43633",22.97,7,7,0.974,0.923,1.211,1.505,1.137,0.82,0.883,0.682,0.742,9,0.99,0.09,0.598,0.752
"268","O43639",10.26,3,4,1.178,1.274,1.212,1.723,1.201,1.743,1.653,1.208,1.152,9,1.37,0.08,0.001,0.018
"269","O43657",7.76,2,2,1.381,1.295,1.757,1.468,0.969,1.069,1.139,0.702,0.752,9,1.17,0.11,0.456,0.635
"270","O43660",14.98,4,4,1.25,1.53,0.922,0.957,0.745,1.015,1.284,1.047,0.966,9,1.08,0.08,0.491,0.666
"271","O43670",6.9,3,3,0.966,1.022,1.209,1.545,1.042,1.353,1.107,1.044,0.795,9,1.12,0.07,0.511,0.683
"272","O43676",11.22,1,1,1.143,1.461,1.117,1.001,0.781,1.294,1.011,1.005,0.789,9,1.07,0.07,0.973,0.986
"273","O43678",49.49,5,5,1.08,1.495,1.494,1.287,1.137,1.349,0.853,1.216,0.826,9,1.19,0.08,0.204,0.377
"274","O43681",10.63,2,3,1.259,1.23,0.784,0.605,0.549,1.064,0.959,0.846,0.87,9,0.91,0.08,0.144,0.301
"275","O43684",33.23,9,9,1.017,1.014,1.014,1.071,1.129,1.125,1.015,1.124,0.983,9,1.05,0.02,0.057,0.174
"276","O43707",50.05,28,42,1.054,0.967,0.919,0.92,1.169,0.98,1.056,1.236,1.265,9,1.06,0.04,0.096,0.235
"277","O43708",12.04,3,3,0.742,1.006,0.77,0.857,0.858,1.107,0.815,1.034,0.798,9,0.89,0.04,0.003,0.028
"278","O43716",25,3,3,1.024,1.255,1.207,1.184,0.591,1.385,1.036,0.604,0.495,9,0.98,0.11,0.178,0.345
"279","O43719",22.91,15,15,1.262,1.082,1.525,1.315,1.2,1.065,1.171,1.047,1.081,9,1.19,0.05,0.003,0.03
"280","O43747",4.87,5,5,0.822,0.863,0.624,0.629,0.811,1.027,0.909,1.141,0.941,9,0.86,0.06,0.03,0.116
"281","O43752",19.22,3,4,1.247,1.17,0.923,0.86,1.092,1.077,1.147,1.048,1.122,9,1.08,0.04,0.111,0.258
"282","O43765",29.71,9,9,0.836,0.945,1.259,1.54,1.407,1.074,1.105,1.028,0.903,9,1.12,0.08,0.293,0.474
"283","O43768",60.33,6,7,1.143,1.084,0.949,1.024,1.074,1.109,1.291,1.229,1.331,9,1.14,0.04,0.008,0.051
"284","O43772",9.63,3,3,0.738,1.262,1.066,0.845,1.032,1.046,0.727,1.213,0.711,9,0.96,0.07,0.242,0.417
"285","O43776",18.61,11,11,0.769,0.693,0.662,0.832,0.792,0.776,0.924,0.85,0.907,9,0.8,0.03,0.001,0.015
"286","O43795",8.71,10,10,1.194,0.783,0.549,0.53,0.725,0.761,1.119,0.9,1.268,9,0.87,0.09,0.291,0.472
"287","O43805",20.17,2,2,1.258,0.721,0.822,1.114,0.86,0.965,1.683,0.742,1.299,9,1.05,0.11,0.673,0.806
"288","O43809",18.94,5,5,0.867,1.098,1.167,1.288,1.223,1.246,0.944,1.151,0.889,9,1.1,0.05,0.365,0.548
"289","O43813",9.77,4,4,0.851,0.778,0.975,1.104,1.227,0.745,0.887,0.977,0.907,9,0.94,0.05,0.311,0.492
"290","O43815",10.51,5,6,1.134,1.75,0.953,0.899,0.874,1.075,1.035,1.37,1.052,9,1.13,0.09,0.239,0.413
"291","O43818",14.74,7,7,1.03,1.153,1.223,0.867,0.976,0.948,0.713,0.889,0.836,9,0.96,0.05,0.286,0.466
"292","O43819",13.53,3,3,0.609,1.136,1.026,1.087,1.081,0.977,0.523,1.303,0.701,9,0.94,0.09,0.242,0.418
"293","O43823",15.9,8,8,1.122,1.31,1.224,0.985,0.834,1.075,0.758,1.002,0.771,9,1.01,0.07,0.599,0.753
"294","O43824",7.56,3,3,1.029,1.039,0.899,0.889,0.697,1.015,1.004,0.793,0.787,9,0.91,0.04,0.023,0.1
"295","O43829",3.56,1,1,1.132,0.957,0.837,0.85,0.887,0.961,1.136,0.997,1.184,9,0.99,0.04,0.896,0.944
"296","O43837",8.05,3,3,0.934,0.96,0.706,0.495,0.512,0.666,0.647,0.685,0.668,9,0.7,0.05,0.001,0.015
"297","O43847",10.26,11,11,1.143,0.962,0.912,0.96,0.982,1.024,1.207,0.99,1.157,9,1.04,0.03,0.243,0.419
"298","O43852",40.95,12,12,1.278,2.12,1.432,0.911,0.954,1.127,0.695,1.18,0.735,9,1.16,0.14,0.675,0.807
"299","O43854",9.17,4,4,0.788,1.283,1.293,1.227,1.426,1.376,0.801,1.176,0.93,9,1.14,0.08,0.358,0.542
"300","O43865",13.02,2,8,0.901,0.688,0.887,1.206,1.246,0.924,1.209,0.95,1.248,9,1.03,0.07,0.579,0.737
"301","O43920",18.87,2,2,1.023,1.688,1.371,1.094,0.978,1.265,0.819,1.018,0.637,9,1.1,0.1,0.931,0.964
"302","O43924",16,2,2,0,0.609,0.574,1.552,1.345,1.465,1.536,0,1.199,7,1.18,0.16,0.698,0.82
"303","O43929",1.83,1,1,1.121,1.064,1.102,1.275,1.279,1.216,1.28,1.214,1.283,9,1.2,0.03,0,0.004
"304","O60216",15.06,7,7,0.997,1.115,0.809,0.777,0.714,0.937,1.041,0.849,0.762,9,0.89,0.05,0.024,0.103
"305","O60220",22.68,2,2,0.881,1.106,1.561,1.158,0.94,0.949,0.712,0.743,0.594,9,0.96,0.1,0.276,0.455
"306","O60231",6.15,7,7,1.063,1.438,1.007,0.897,0.811,1.44,0.935,1.357,0.885,9,1.09,0.08,0.82,0.899
"307","O60256",15.18,4,5,1.024,0.804,0.897,1.075,1.017,1.025,1.193,0.808,1.129,9,1,0.05,0.938,0.968
"308","O60264",19.39,14,20,1.026,0.895,0.746,0.746,0.713,0.969,1.087,0.823,1.043,9,0.89,0.05,0.073,0.201
"309","O60271",17.49,18,19,0.951,0.771,0.693,0.754,0.865,0.788,1.123,0.836,1.286,9,0.9,0.06,0.344,0.526
"310","O60287",3.87,8,8,1.067,1.071,0.941,0.777,0.891,0.9,1.061,1.027,1.136,9,0.99,0.04,0.956,0.977
"311","O60293",2.61,5,5,0.757,0.875,1.073,1.15,1.217,0.926,0.801,0.975,0.847,9,0.96,0.05,0.304,0.484
"312","O60306",1.48,2,2,0.834,0.674,0.616,0.723,0.657,0.781,0.965,0.707,0.878,9,0.76,0.04,0.001,0.015
"313","O60313",20.94,19,19,1.058,0.976,0.779,0.628,0.658,0.745,0.793,0.785,0.792,9,0.8,0.05,0.004,0.033
"314","O60315",10.38,10,10,1.557,1.628,1.855,1.591,1.636,1.449,1.181,1.465,1.27,9,1.51,0.07,0,0.003
"315","O60333",6.06,8,9,0.518,0.666,0.952,1.389,1.953,0.961,0.747,1.344,1.049,9,1.06,0.15,0.987,0.993
"316","O60341",9.15,6,6,1.093,0.976,0.726,0.61,0.778,0.993,0.98,1.028,1.05,9,0.91,0.06,0.177,0.344
"317","O60427",1.58,1,1,2.721,1.351,0.615,0.337,0.587,0.732,1.474,1.269,2.565,9,1.29,0.29,0.48,0.657
"318","O60437",2.45,4,4,0.317,0.784,1.006,1.948,1.424,1.499,0.606,1.09,0.443,9,1.01,0.18,0.231,0.406
"319","O60443",9.68,3,3,0.788,0.615,0.455,0.542,0.53,0.723,0.926,0.704,0.906,9,0.69,0.06,0.003,0.03
"320","O60488",3.23,2,2,1.14,0.611,0.478,0.535,0.643,0.676,1.259,0.807,1.512,9,0.85,0.12,0.346,0.528
"321","O60493",27.78,4,6,1.326,0.919,1.019,1.214,1.038,1.04,1.527,0.914,1.342,9,1.15,0.07,0.04,0.141
"322","O60499",10.84,1,2,1.541,1.327,1.082,0.757,0.648,0.918,1.066,0.781,0.911,9,1,0.1,0.759,0.86
"323","O60502",8.3,7,7,0.898,0.581,0.68,0.844,0.763,0.804,1.193,0.761,1.159,9,0.85,0.07,0.123,0.274
"324","O60504",6.86,4,4,1.151,1.209,0.968,1.111,1.187,1.223,1.163,1.458,1.393,9,1.21,0.05,0.002,0.022
"325","O60506",34.03,13,22,0.673,0.766,1.02,1.489,1.331,1.148,1.025,0.962,0.83,9,1.03,0.09,0.699,0.821
"326","O60508",5.18,4,4,1.175,1.826,1.304,1.629,1.339,1.655,1.065,1.17,0.756,9,1.32,0.11,0.116,0.265
"327","O60524",9.48,10,10,0.921,0.791,0.842,1.021,0.974,1.001,1.135,0.812,1,9,0.94,0.04,0.144,0.301
"328","O60547",2.15,1,1,0.884,0.955,1.12,1.049,1.248,0.884,0.818,1.046,0.972,9,1,0.04,0.986,0.993
"329","O60551",5.02,1,2,1.144,0.837,0.928,0.855,1.331,0.762,1.041,1.181,1.621,9,1.08,0.09,0.16,0.321
"330","O60568",28.59,19,19,0.897,1.289,1.004,0.875,1.052,1.307,0.807,1.464,0.912,9,1.07,0.08,0.89,0.941
"331","O60573",6.53,1,1,0,0.739,0.986,1.076,1.162,0.797,0,0.856,0,6,0.94,0.07,0.585,0.742
"332","O60583",1.1,1,1,1.051,1.32,1.101,0.857,1.137,1.015,0.807,1.34,1.071,9,1.08,0.06,0.268,0.445
"333","O60610",6.84,9,9,1.084,0.68,0.564,0.675,0.509,0.761,1.207,0.615,1.037,9,0.79,0.08,0.056,0.172
"334","O60613",19.75,3,3,1.172,1.216,1.116,1.149,1.038,1.238,0.854,1.032,0.854,9,1.07,0.05,0.589,0.745
"335","O60637",2.77,1,1,1.185,0.925,1.019,1.217,0.871,1.092,1.397,0.777,0.999,9,1.05,0.06,0.655,0.793
"336","O60645",8.2,4,4,0.75,0.665,0.613,0.707,0.834,0.993,1.037,0.848,0.96,9,0.82,0.05,0.008,0.051
"337","O60662",36.96,21,21,0.75,1.203,2.865,3.334,3.844,1.395,0.847,1.873,1.041,9,1.91,0.39,0.063,0.184
"338","O60664",43.32,15,15,1.332,1.16,0.766,0.639,0.703,0.992,1.107,1.026,1.289,9,1,0.08,0.981,0.991
"339","O60673",0.77,1,2,1.144,1.064,0.958,0.906,0.883,0.995,1.069,0.964,1.041,9,1,0.03,0.873,0.932
"340","O60684",6.16,2,3,0.926,0.768,0.592,0.815,1.091,1.045,1.257,1.823,1.116,9,1.05,0.12,0.961,0.979
"341","O60701",23.68,11,11,0.992,0.735,0.518,0.586,0.922,0.717,1.025,1.012,1.418,9,0.88,0.09,0.43,0.614
"342","O60716",23.97,19,19,1.251,1.307,1.073,0.894,1.013,1.019,0.974,1.189,1.16,9,1.1,0.05,0.044,0.149
"343","O60739",28.32,4,4,1.232,1.046,1.57,1.737,1.194,1.041,1.159,0.827,1.134,9,1.22,0.09,0.038,0.135
"344","O60749",28.9,12,14,1.16,0.767,0.745,0.868,0.784,0.874,1.183,0.832,1.237,9,0.94,0.07,0.548,0.713
"345","O60762",12.31,4,4,1.083,1.46,1.07,0.741,0.756,0.987,0.743,0.914,0.754,9,0.95,0.08,0.224,0.399
"346","O60763",24.32,19,19,0.961,0.853,0.851,0.76,1.023,0.807,0.962,1.074,1.323,9,0.96,0.06,0.924,0.96
"347","O60784",18.09,8,8,1.191,1.253,1.645,1.556,1.588,1.277,1.175,1.202,1.102,9,1.33,0.07,0.001,0.019
"348","O60814",63.49,2,10,1.094,1.259,1.481,1.416,1.19,1.214,1.008,0.911,0.827,9,1.16,0.07,0.232,0.407
"349","O60826",13.72,6,6,1.2,0.95,0.91,0.741,0.817,0.847,0.878,0.771,1.019,9,0.9,0.05,0.108,0.254
"350","O60828",27.55,6,6,1.096,1.208,1.44,1.195,1.226,1.036,0.95,1.057,0.985,9,1.13,0.05,0.036,0.13
"351","O60831",12.36,2,2,0.905,0.947,0.806,0.874,0.853,1.015,0.969,0.925,0.995,9,0.92,0.02,0.007,0.047
"352","O60832",22.76,11,11,0.775,0.961,0.939,0.932,0.884,0.898,0.758,0.834,0.756,9,0.86,0.03,0.001,0.013
"353","O60841",19.18,21,22,0.886,0.715,0.746,0.939,0.898,0.919,1.047,0.923,1.066,9,0.9,0.04,0.086,0.22
"354","O60869",29.05,5,5,1.227,1.027,1.297,1.267,1.386,1.041,1.21,1.049,1.193,9,1.19,0.04,0,0.01
"355","O60870",19.59,6,7,0.507,0,0.603,1.224,0.871,0,1.017,0,0.723,6,0.82,0.11,0.077,0.208
"356","O60879",1.54,2,2,0.983,0.336,0.645,0.845,0.526,0.435,1.272,0.319,0.934,9,0.7,0.11,0.052,0.165
"357","O60884",6.07,3,3,0.644,0.591,0.77,1.38,1.455,0.943,1.057,1.143,1.213,9,1.02,0.1,0.989,0.993
"358","O60885",12.04,10,14,1.225,1.379,1.195,1.06,0.947,1.213,1.07,1.142,0.978,9,1.13,0.05,0.046,0.152
"359","O60888",15.64,2,2,1.062,1.361,1.212,1.027,0.808,1.14,0.888,0.892,0.699,9,1.01,0.07,0.473,0.651
"360","O60925",35.25,5,5,1.14,1.01,1.091,1.031,1.067,0.972,1.09,1.071,1.105,9,1.06,0.02,0,0.009
"361","O60934",9.28,5,5,0,0,0,1.031,1.337,1.032,0.827,1.331,1.072,6,1.11,0.08,0.273,0.451
"362","O60936",12.33,2,2,0.517,0.806,0.876,1.208,1.401,1.098,0.704,1.268,0.816,9,0.97,0.1,0.344,0.526
"363","O60939",3.26,1,1,0,0,0,0,0,0,0,1.175,0.633,2,0,0,0.36,0.543
"364","O75044",12.04,9,10,0.91,1.069,0.937,0.851,0.823,1.017,0.877,0.982,0.735,9,0.91,0.03,0.011,0.061
"365","O75052",3.56,2,2,0,0.535,0.714,0.571,0.632,0.667,0,0.833,0,6,0.66,0.04,0.006,0.04
"366","O75054",1.76,2,2,1.778,0,1.459,0,0,0,0,0,0,2,0,0,0,0
"367","O75056",3.85,1,1,0.98,1.16,1.057,0.888,0.726,0.963,0.813,0.784,0.664,9,0.89,0.05,0.034,0.126
"368","O75063",4.65,2,2,1.78,2.33,1.419,0.696,0.62,1.468,0.937,1.302,0.835,9,1.27,0.19,0.553,0.717
"369","O75083",24.42,14,14,1.107,0.895,0.874,0.823,0.929,0.909,1.033,0.956,1.132,9,0.96,0.04,0.608,0.759
"370","O75094",0.92,1,1,0.481,1.013,0.674,1.205,0.712,1.789,0.849,1.051,0.501,9,0.92,0.14,0.03,0.116
"371","O75112",13.07,7,7,0.479,1.011,3.86,4.744,6.768,1.071,0.558,1.682,0.779,9,2.33,0.75,0.256,0.433
"372","O75113",3.57,3,3,1.034,1.176,0.884,0.879,0.965,1.156,1.015,1.262,1.114,9,1.05,0.04,0.37,0.553
"373","O75116",15.2,16,20,0.962,0.767,0.749,0.871,0.838,0.885,1.149,0.723,1.022,9,0.89,0.05,0.061,0.181
"374","O75122",6.72,6,6,1.236,0.696,0.971,0.823,1.164,0.737,1.568,0.861,1.59,9,1.07,0.11,0.319,0.501
"375","O75128",2.14,2,2,0.629,1.136,0,0,0,2.435,1.347,2.045,1.137,6,1.45,0.27,0.37,0.553
"376","O75131",25.88,9,10,0.989,0.718,0.725,0.723,0.952,0.689,0.959,0.818,1.314,9,0.88,0.07,0.3,0.481
"377","O75132",2.9,2,3,0.411,0.67,2.743,5.79,4.825,1.397,0.856,1.158,0.713,9,2.06,0.66,0.413,0.595
"378","O75143",4.06,1,1,3.195,0,1.091,0.422,0.426,0,1.219,0,1.231,6,1.26,0.42,0.949,0.973
"379","O75147",9.39,15,15,0.806,1.166,2.233,2.644,3.289,1.162,0.857,1.421,1.051,9,1.63,0.29,0.071,0.199
"380","O75150",22.48,19,20,1.293,1.057,1.063,1.152,1.083,1.208,1.312,1.042,1.129,9,1.15,0.03,0.002,0.022
"381","O75152",20.37,12,14,1.282,1.185,1.067,1.069,1.061,1.073,1.126,0.927,1.031,9,1.09,0.03,0.034,0.126
"382","O75153",10.08,9,10,0.729,0.813,1.053,0.629,0.916,0.508,0.736,0.819,1.079,9,0.81,0.06,0.042,0.143
"383","O75155",4.69,3,6,0.981,1.041,1.199,1.53,1.712,1.313,1.236,1.462,1.383,9,1.32,0.08,0.002,0.023
"384","O75157",6.54,3,5,0.842,0.679,0.969,2.091,1.463,0.937,1.186,0.961,1.148,9,1.14,0.14,0.378,0.558
"385","O75165",4.55,9,9,0.582,0.682,0.691,1.289,0.885,1.046,1.072,0.844,0.933,9,0.89,0.07,0.102,0.243
"386","O75173",1.67,1,1,0.313,0.405,0.881,1.991,1.417,0.904,0.698,0.64,0.497,9,0.86,0.18,0.102,0.243
"387","O75175",11.82,7,7,0.986,0.981,0.947,1.228,1.48,1.257,1.262,1.507,1.52,9,1.24,0.08,0.012,0.065
"388","O75177",3.03,1,1,0.877,1.478,1.536,1.325,1.72,1.259,0.746,1.627,0.969,9,1.28,0.12,0.109,0.256
"389","O75179",5.95,5,10,1.749,1.694,1.49,0.869,1.01,0.976,1.007,1.129,1.17,9,1.23,0.11,0.041,0.143
"390","O75190",16.56,4,5,1.125,0.867,1.115,0.994,1.195,0.764,0.99,1.035,1.248,9,1.04,0.05,0.086,0.22
"391","O75208",11.32,4,4,0.969,1.404,1.591,1.438,0.91,1.304,0.885,0.926,0.564,9,1.11,0.11,0.831,0.906
"392","O75223",22.87,4,4,1.604,0.796,1.294,1.025,1.546,0.924,1.166,1.194,1.572,9,1.24,0.1,0.016,0.079
"393","O75251",28.17,5,5,0.897,1.059,1.18,1.058,1.115,0.96,0.93,1.031,0.963,9,1.02,0.03,0.532,0.701
"394","O75298",5.32,3,3,1.074,1.458,1.357,1.03,0.861,1.094,0.805,0.909,0.672,9,1.03,0.08,0.625,0.773
"395","O75306",20.09,8,8,0.83,0.934,1.029,1.11,1.099,0.992,0.846,0.76,0.759,9,0.93,0.05,0.069,0.194
"396","O75312",11.33,5,5,1.047,0.889,0.913,1.023,1.023,0.922,1.028,0.927,1.115,9,0.99,0.03,0.89,0.941
"397","O75323",13.64,3,5,0.793,1.177,1.267,1.304,0.968,1.196,0.908,0.895,0.76,9,1.03,0.07,0.65,0.79
"398","O75340",10.47,2,2,1.585,1.337,1.131,0.703,0.889,0.835,0.968,0.924,1.076,9,1.05,0.09,0.56,0.723
"399","O75347",51.85,9,9,0.933,0.892,1.102,1.327,1.101,1.018,1.067,0.84,0.899,9,1.02,0.05,0.988,0.993
"400","O75348",21.19,2,2,1.163,1.261,1.265,1.021,1.248,0.995,0.911,0.903,0.985,9,1.08,0.05,0.16,0.321
"401","O75351",13.06,4,6,0.969,0.924,0.812,0.719,0.871,0.912,1.029,0.974,0.942,9,0.91,0.03,0.029,0.114
